fight_id,event_name,event_date,location,venue,fighter1,fighter2,winner,method,round,time,weight_class,title_fight,gender,num_rounds,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_dob,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_dob,fighter1_sig_strikes_pm,fighter1_sig_strikes_acc,fighter1_sig_strikes_abs_pm,fighter1_sig_strikes_def,fighter1_takedown_avg,fighter1_takedown_acc,fighter1_takedown_def,fighter1_sub_avg,fighter2_sig_strikes_pm,fighter2_sig_strikes_acc,fighter2_sig_strikes_abs_pm,fighter2_sig_strikes_def,fighter2_takedown_avg,fighter2_takedown_acc,fighter2_takedown_def,fighter2_sub_avg,fighter1_wins,fighter1_losses,fighter1_draws,fighter1_win_streak,fighter1_lose_streak,fighter1_ko_wins,fighter1_sub_wins,fighter1_dec_wins,fighter2_wins,fighter2_losses,fighter2_draws,fighter2_win_streak,fighter2_lose_streak,fighter2_ko_wins,fighter2_sub_wins,fighter2_dec_wins,fighter1_odds,fighter2_odds,favorite,underdog,betting_outcome,fighter1_rank,fighter2_rank,data_source,ppv_buys,attendance,bonus_type
96c4e70fb61e,,2013-09-21,"Toronto, Ontario, Canada",,Mike Ricci,Myles Jury,Myles Jury,DEC,3.0,5:00,Lightweight,False,MALE,3,182.88,155.0,195.58,Southpaw,27,,177.8,145.0,185.42,Orthodox,24,,28.0,0.47,,,1.0,0.5,,0.0,24.3333,0.3,,,1.6667,0.5,,0.6667,1,1,0,1,0,0,0,1,3,0,0,3,0,1,1,1,375.0,-420.0,,,,,,ufc_master,,,
1317bf0d2713,,2013-09-21,"Toronto, Ontario, Canada",,Nandor Guelmino,Daniel Omielanczuk,Daniel Omielanczuk,KO/TKO,3.0,3:18,Heavyweight,False,MALE,3,190.5,230.0,193.04,Orthodox,37,,182.88,247.0,187.96,Southpaw,31,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.0,-250.0,,,,,,ufc_master,,,
d21772841556,,2013-09-21,"Toronto, Ontario, Canada",,Chris Clements,Stephen Thompson,Stephen Thompson,KO/TKO,2.0,1:27,Welterweight,False,MALE,3,177.8,170.0,177.8,Orthodox,37,,182.88,170.0,190.5,Orthodox,30,,53.0,0.525,,,0.0,0.0,,0.0,51.3333,0.517,,,0.6667,0.167,,0.0,1,1,0,0,1,0,0,1,2,1,0,1,0,1,0,1,380.0,-430.0,,,,,,ufc_master,,,
0a4aad9d9d25,,2013-09-21,"Toronto, Ontario, Canada",,Mitch Gagnon,Dustin Kimura,Mitch Gagnon,SUB,1.0,4:05,Bantamweight,False,MALE,3,165.1,135.0,165.1,Southpaw,28,,170.18,135.0,180.34,Orthodox,24,,16.0,0.43,,,0.5,0.1,,0.5,16.0,0.28,,,0.0,0.0,,5.0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,150.0,-160.0,,,,,,ufc_master,,,
32d50f8f4a05,,2013-09-21,"Toronto, Ontario, Canada",,John Makdessi,Renee Forte,John Makdessi,KO/TKO,1.0,2:01,Lightweight,False,MALE,3,172.72,155.0,172.72,Orthodox,28,,170.18,155.0,180.34,Orthodox,26,,55.5,0.398,,,0.0,0.0,,0.0,36.5,0.365,,,1.0,0.33,,0.0,4,2,0,2,0,1,0,3,1,1,0,1,0,0,0,1,-150.0,140.0,,,,,,ufc_master,,,
ef876fa42361,,2013-09-21,"Toronto, Ontario, Canada",,Michel Prazeres,Jesse Ronson,Michel Prazeres,DEC,3.0,5:00,Lightweight,False,MALE,3,167.64,170.0,170.18,Orthodox,32,,177.8,155.0,182.88,Southpaw,27,,30.0,0.47,,,3.0,0.25,,0.0,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105.0,-115.0,,,,,,ufc_master,,,
332795efe513,,2013-09-21,"Toronto, Ontario, Canada",,Roland Delorme,Alex Caceres,Alex Caceres,DEC,3.0,5:00,Bantamweight,False,MALE,3,175.26,135.0,180.34,Orthodox,29,,177.8,145.0,185.42,Southpaw,25,,25.0,0.505,,,2.25,0.285,,1.5,39.2857,0.54,,,0.1429,0.143,,1.5714,3,1,0,1,0,0,2,1,3,4,0,0,1,0,1,2,130.0,-140.0,,,,,,ufc_master,,,
9c9e9e49d9ee,,2013-09-21,"Toronto, Ontario, Canada",,Ivan Menjivar,Wilson Reis,Wilson Reis,DEC,3.0,5:00,Bantamweight,False,MALE,3,167.64,145.0,162.56,Orthodox,31,,162.56,125.0,165.1,Southpaw,28,,21.5714,0.451,,,0.2857,0.286,,0.7143,,,,,,,,,4,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,-125.0,115.0,,,,,,ufc_master,,,
02659e07892b,,2013-10-09,"Barueri, Sao Paulo, Brazil",,Fabio Maldonado,Joey Beltran,Fabio Maldonado,DEC,3.0,5:00,Light Heavyweight,False,MALE,3,185.42,205.0,190.5,Orthodox,33,,185.42,185.0,190.5,Orthodox,31,,75.0,0.58,,,0.6,0.3,,0.8,58.4444,0.389,,,0.4444,0.176,,0.0,2,3,0,1,0,1,0,1,3,6,0,0,4,2,0,1,-155.0,145.0,,,,,,ufc_master,,,
5ad6ab837707,,2013-10-09,"Barueri, Sao Paulo, Brazil",,Erick Silva,Dong Hyun Kim,Dong Hyun Kim,KO/TKO,2.0,3:01,Welterweight,False,MALE,3,182.88,170.0,187.96,Orthodox,29,,187.96,170.0,193.04,Southpaw,31,,8.2,0.504,,,0.4,0.132,,1.0,26.6364,0.542,,,2.7273,0.546,,0.6364,3,2,0,1,0,1,2,0,8,3,0,2,0,1,0,7,-170.0,160.0,,,,,,ufc_master,,,
17d73db4b870,,2013-10-09,"Barueri, Sao Paulo, Brazil",,Thiago Silva,Matt Hamill,Thiago Silva,DEC,3.0,5:00,Light Heavyweight,False,MALE,3,187.96,205.0,187.96,Orthodox,30,,185.42,205.0,193.04,Orthodox,37,,28.7273,0.552,,,0.5455,0.318,,0.3636,35.7857,0.422,,,2.0,0.447,,0.0,6,5,0,1,0,6,0,0,10,4,0,1,0,5,0,4,-380.0,340.0,,,,,,ufc_master,,,
